list size,for loop,list comprehension
10,1.62124633789062E-05,1.21593475341797E-05
50,2.45571136474609E-05,1.35898590087891E-05
100,5.53131103515625E-05,2.74181365966797E-05
150,0.000058651,2.59876251220703E-05
200,0.0001120567,3.91006469726562E-05
250,9.13143157958984E-05,3.52859497070312E-05
300,0.0001728535,6.27040863037109E-05
350,0.0001900196,7.00950622558594E-05
400,0.0001525879,5.79357147216797E-05
500,0.0002663136,9.67979431152344E-05
1000,0.0005424023,0.0001862049
5000,0.0011796951,0.0004806519
10000,0.0016210079,0.0005791187
20000,0.003108263,0.0014021397
50000,0.0062339306,0.0025527477
